rank,name,year,rating,genre,watched
1,The Shawshank Redemption,1994,9.3,Drama,True
2,The Godfather,1972,9.2,"Crime,Drama",False
3,The Dark Knight,2008,9.0,"Action,Crime,Drama",True
4,The Godfather Part II,1974,9.0,"Crime,Drama",False
5,12 Angry Men,1957,9.0,"Crime,Drama",False
6,Schindler's List,1993,9.0,"Biography,Drama,History",False
7,The Lord of the Rings: The Return of the King,2003,9.0,"Action,Adventure,Drama",False
8,Pulp Fiction,1994,8.9,"Crime,Drama",True
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama",True
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western",True
11,Forrest Gump,1994,8.8,"Drama,Romance",False
12,Fight Club,1999,8.8,Drama,False
13,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama",False
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",False
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",False
16,The Matrix,1999,8.7,"Action,Sci-Fi",False
17,Goodfellas,1990,8.7,"Biography,Crime,Drama",False
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,False
19,Se7en,1995,8.6,"Crime,Drama,Mystery",False
20,Seven Samurai,1954,8.6,"Action,Drama",False
21,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy",False
22,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller",False
23,City of God,2002,8.6,"Crime,Drama",False
24,Saving Private Ryan,1998,8.6,"Drama,War",False
25,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi",False
26,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance",False
27,The Green Mile,1999,8.6,"Crime,Drama,Fantasy",False
28,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy",False
29,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi",False
30,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",False
31,Spirited Away,2001,8.6,"Animation,Adventure,Family",False
32,The Pianist,2002,8.5,"Biography,Drama,Music",False
33,Psycho,1960,8.5,"Horror,Mystery,Thriller",False
34,Parasite,2019,8.5,"Drama,Thriller",False
35,Léon: The Professional,1994,8.5,"Action,Crime,Drama",False
36,The Lion King,1994,8.5,"Animation,Adventure,Drama",False
37,Gladiator,2000,8.5,"Action,Adventure,Drama",False
38,American History X,1998,8.5,"Crime,Drama",False
39,The Departed,2006,8.5,"Crime,Drama,Thriller",False
40,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery",False
41,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi",False
42,Whiplash,2014,8.5,"Drama,Music",False
43,Casablanca,1942,8.5,"Drama,Romance,War",False
44,Grave of the Fireflies,1988,8.5,"Animation,Drama,War",False
45,Harakiri,1962,8.6,"Action,Drama,Mystery",False
46,The Intouchables,2011,8.5,"Biography,Comedy,Drama",False
47,Modern Times,1936,8.5,"Comedy,Drama,Romance",False
48,Once Upon a Time in the West,1968,8.5,Western,False
49,Rear Window,1954,8.5,"Mystery,Thriller",False
50,Cinema Paradiso,1988,8.5,"Drama,Romance",False
51,Alien,1979,8.5,"Horror,Sci-Fi",False
52,City Lights,1931,8.5,"Comedy,Drama,Romance",False
53,Apocalypse Now,1979,8.5,"Drama,Mystery,War",False
54,Memento,2000,8.4,"Mystery,Thriller",False
55,Django Unchained,2012,8.4,"Drama,Western",False
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,"Action,Adventure",False
57,WALL·E,2008,8.4,"Animation,Adventure,Family",False
58,The Lives of Others,2006,8.4,"Drama,Mystery,Thriller",False
59,Sunset Blvd.,1950,8.4,"Drama,Film-Noir",False
60,Paths of Glory,1957,8.4,"Drama,War",False
61,The Shining,1980,8.4,"Drama,Horror",False
62,The Great Dictator,1940,8.4,"Comedy,Drama,War",False
63,Avengers: Infinity War,2018,8.4,"Action,Adventure,Sci-Fi",False
64,Witness for the Prosecution,1957,8.4,"Crime,Drama,Mystery",False
65,Aliens,1986,8.4,"Action,Adventure,Sci-Fi",False
66,Spider-Man: Into the Spider-Verse,2018,8.4,"Animation,Action,Adventure",False
67,American Beauty,1999,8.4,Drama,False
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy,War",False
69,The Dark Knight Rises,2012,8.4,"Action,Drama",False
70,Oldboy,2003,8.4,"Action,Drama,Mystery",False
71,Inglourious Basterds,2009,8.3,"Adventure,Drama,War",False
72,Amadeus,1984,8.4,"Biography,Drama,Music",False
73,Coco,2017,8.4,"Animation,Adventure,Comedy",False
74,Toy Story,1995,8.3,"Animation,Adventure,Comedy",False
75,Joker,2019,8.4,"Crime,Drama,Thriller",False
76,Braveheart,1995,8.4,"Biography,Drama,History",False
77,The Boat,1981,8.4,"Drama,War",False
78,Avengers: Endgame,2019,8.4,"Action,Adventure,Drama",False
79,Princess Mononoke,1997,8.4,"Animation,Action,Adventure",False
80,Once Upon a Time in America,1984,8.3,"Crime,Drama",False
81,Good Will Hunting,1997,8.3,"Drama,Romance",False
82,Your Name.,2016,8.4,"Animation,Drama,Fantasy",False
83,3 Idiots,2009,8.4,"Comedy,Drama",False
84,Singin' in the Rain,1952,8.3,"Comedy,Musical,Romance",False
85,Requiem for a Dream,2000,8.3,Drama,False
86,Toy Story 3,2010,8.3,"Animation,Adventure,Comedy",False
87,High and Low,1963,8.4,"Crime,Drama,Mystery",False
88,Capernaum,2018,8.4,Drama,False
89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy",False
90,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama,Romance,Sci-Fi",False
91,2001: A Space Odyssey,1968,8.3,"Adventure,Sci-Fi",False
92,Reservoir Dogs,1992,8.3,"Crime,Thriller",False
93,Come and See,1985,8.4,"Drama,Thriller,War",False
94,The Hunt,2012,8.3,Drama,False
95,Citizen Kane,1941,8.3,"Drama,Mystery",False
96,M,1931,8.3,"Crime,Mystery,Thriller",False
97,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama",False
98,North by Northwest,1959,8.3,"Action,Adventure,Mystery",False
99,Vertigo,1958,8.3,"Mystery,Romance,Thriller",False
100,Ikiru,1952,8.3,Drama,False
101,Amélie,2001,8.3,"Comedy,Romance",False
102,The Apartment,1960,8.3,"Comedy,Drama,Romance",False
103,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi",False
104,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir",False
105,Full Metal Jacket,1987,8.3,"Drama,War",False
106,Top Gun: Maverick,2022,8.3,"Action,Drama",False
107,Scarface,1983,8.3,"Crime,Drama",False
108,Hamilton,2020,8.4,"Biography,Drama,History",False
109,Incendies,2010,8.3,"Drama,Mystery",False
110,To Kill a Mockingbird,1962,8.3,"Crime,Drama",False
